path,criticality,total_lines,ai_lines,automation_lines
apps/api/src/shared/runtime-command-processor.ts,STANDARD,135,135,0
docs/ip/PLATON_ASSIGNMENT_SCHEDULE.csv,STANDARD,133,133,0
apps/api/src/modules/regulatory-integration/fgis-grain/fgis-grain-quarantine-audit-principal.grants.spec.ts,STANDARD,132,132,0
apps/web/app/platform-v7/deals/[id]/accounting/DealAccountingClient.tsx,STANDARD,131,131,0
apps/web/components/market-center-workspace.tsx,STANDARD,131,131,0
apps/web/lib/golden-paths.ts,STANDARD,131,131,0
packages/domain-core/src/integration-hardening.ts,CROWN_JEWEL,131,131,0
apps/api/src/common/config/env.validation.ts,STANDARD,130,130,0
apps/api/src/modules/auth/organization-job-profile.spec.ts,CROWN_JEWEL,130,130,0
apps/web/lib/federal-counterparty-directory.ts,STANDARD,130,130,0
apps/web/tests/unit/platformV7AccountingBoard.test.tsx,STANDARD,130,130,0
scripts/audit-critical-flows.mjs,STANDARD,129,129,0
apps/web/lib/runtime-process.ts,STANDARD,127,127,0
shared/role-contract.test.ts,STANDARD,126,126,0
apps/web/app/assistant/page.tsx,STANDARD,126,125,1
codeql/insufficient-password-hash-corrected/tests/negative/opaqueCredentials.js,STANDARD,125,125,0
infra/grafana/dashboards/grainflow-business.json,STANDARD,123,123,0
scripts/ip/fetch-registry-license-evidence.mjs,STANDARD,123,123,0
apps/api/src/modules/saga/fgis-step.service.spec.ts,STANDARD,122,122,0
apps/web/tests/unit/gektaProductExperience.test.ts,STANDARD,122,122,0
apps/api/src/modules/accounting/accounting.module.spec.ts,CROWN_JEWEL,121,121,0
apps/web/tests/e2e/investor-demo.spec.ts,STANDARD,121,121,0
packages/integration-sdk/src/quarantine/fgis-zerno-legacy.ts,CROWN_JEWEL,121,121,0
apps/web/components/company-directory-workspace.tsx,STANDARD,120,120,0
packages/integration-sdk/src/adapters/rzd-etran.adapter.ts,CROWN_JEWEL,120,120,0
apps/web/tests/unit/platformV7Translator.test.tsx,STANDARD,119,119,0
docs/COMMERCIAL_EXPANSION_GAP_ANALYSIS.md,STANDARD,117,117,0
apps/api/prisma/migrations/20260817230000_pc_crop_period_close_knows_services/migration.sql,STANDARD,116,116,0
apps/web/components/v9/cards/KpiCard.tsx,STANDARD,116,116,0
apps/web/tests/unit/taiConversationSubjectContract.test.ts,STANDARD,115,115,0
apps/web/tests/unit/taiInternalStreamEndpoint.test.ts,STANDARD,115,115,0
apps/api/src/modules/regulatory-integration/fgis-grain/fgis-grain-quarantine-audit-principal.ts,STANDARD,113,113,0
apps/web/lib/api.ts,STANDARD,113,113,0
packages/integration-sdk/src/quarantine/fgis-zerno-legacy.test.ts,CROWN_JEWEL,113,113,0
apps/api/src/modules/auth/organization-job-profile.ts,CROWN_JEWEL,112,112,0
apps/web/app/api/lots/route.ts,STANDARD,113,112,1
apps/web/components/trust-graph-panel.tsx,STANDARD,112,112,0
docs/ip/LICENSE_POLICY_DECISION.md,STANDARD,112,112,0
infra/kafka/create-topics.sh,STANDARD,112,112,0
apps/api/src/modules/notifications/notifications.service.ts,STANDARD,111,111,0
apps/api/src/modules/route-planner/route-planner.service.ts,STANDARD,111,111,0
apps/api/src/modules/accounting/connection-attestation.policy.spec.ts,CROWN_JEWEL,110,110,0
apps/tai/tai/industrial_gap_report_cli.py,CROWN_JEWEL,110,110,0
packages/integration-sdk/src/adapters/gis-epd.adapter.ts,CROWN_JEWEL,110,110,0
apps/api/src/modules/accounting/document-transport.port.ts,CROWN_JEWEL,109,109,0
apps/web/components/commercial-expansion-board.tsx,STANDARD,109,109,0
apps/web/mocks/fixtures/rfq.json,STANDARD,109,109,0
docs/ops/pc-crop-federal-accounting/security-acceptance.md,STANDARD,109,109,0
apps/api/src/modules/organizations/organizations.service.ts,CROWN_JEWEL,108,108,0
apps/web/lib/gekta/phone-verification.ts,CROWN_JEWEL,108,108,0
apps/web/lib/runtime-server.ts,STANDARD,108,108,0
apps/api/src/modules/accounting/connection-center.policy.spec.ts,CROWN_JEWEL,107,107,0
apps/web/app/platform-v7r/roles/page.tsx,STANDARD,107,107,0
infra/prometheus/alertmanager.yml,STANDARD,106,106,0
apps/web/lib/closure-readiness-engine.ts,STANDARD,105,105,0
apps/web/lib/v9/statuses.ts,STANDARD,105,105,0
infra/k6/deal-cycle-load.js,STANDARD,104,104,0
scripts/ip/similarity-adjudication.mjs,STANDARD,104,104,0
apps/api/src/modules/regulatory-integration/fgis-grain/fgis-grain-legacy-quarantine.audit.ts,STANDARD,103,103,0
docs/security/SECRET_ROTATION_REGISTER.md,STANDARD,103,103,0
docs/security/SUPPLY_CHAIN_MATRIX.md,STANDARD,103,103,0
infra/kafka/topics.yml,STANDARD,103,103,0
apps/web/tests/unit/taiNoFakeStreamingAudit.test.ts,STANDARD,102,102,0
packages/integration-sdk/src/adapters/aml.adapter.ts,CROWN_JEWEL,102,102,0
scripts/ip/contributor-rights.mjs,STANDARD,102,102,0
scripts/ip/rospatent-deposit.test.mjs,STANDARD,102,102,0
shared/runtime-snapshot.ts,STANDARD,102,102,0
apps/api/prisma/migrations/20260815220000_pc_crop_authority_two_person_rule/migration.sql,STANDARD,101,101,0
apps/web/lib/offline-ai-kb.ts,STANDARD,101,101,0
apps/web/components/error-boundary.tsx,STANDARD,100,100,0
apps/api/src/modules/accounting/connection-attestation.policy.ts,CROWN_JEWEL,98,98,0
apps/web/lib/journey-links.ts,STANDARD,98,98,0
packages/integration-sdk/src/security/webhook-security.ts,CROWN_JEWEL,98,98,0
apps/api/src/modules/regulatory-integration/fgis-grain/fgis-grain-quarantine-audit-principal.inspection.ts,STANDARD,97,97,0
apps/web/lib/status-labels.ts,STANDARD,97,97,0
packages/domain-core/src/browser-access-policy.ts,CROWN_JEWEL,97,97,0
packages/integration-sdk/src/adapters/bank.adapter.ts,CROWN_JEWEL,97,97,0
packages/integration-sdk/src/adapters/fgis-zerno.adapter.ts,CROWN_JEWEL,97,97,0
apps/api/src/modules/export-trade/export-trade.controller.ts,STANDARD,96,96,0
apps/api/src/modules/integration-events/integration-events.service.ts,STANDARD,94,94,0
packages/domain-core/src/deadline-protection.test.ts,CROWN_JEWEL,94,94,0
apps/web/components/v9/layout/AppShell.tsx,STANDARD,93,93,0
docs/runbooks/P2-integration-degraded.md,STANDARD,93,93,0
packages/domain-core/src/status-policy-engine.ts,CROWN_JEWEL,93,93,0
apps/web/lib/realtime.ts,STANDARD,91,91,0
docs/ROLE_UAT_MATRIX_2026_04_04.md,STANDARD,91,91,0
apps/api/src/shared/chat-contact-policy.ts,STANDARD,90,90,0
apps/api/src/modules/deals/deal-event.service.ts,CROWN_JEWEL,89,89,0
apps/web/components/v9/ui/dialog.tsx,STANDARD,89,89,0
apps/web/lib/api-client.ts,STANDARD,89,89,0
apps/web/lib/platform-v7/tai-conversation-session.ts,STANDARD,89,89,0
docs/ops/pc-crop-federal-accounting/next-scope-wave-2.md,STANDARD,89,89,0
packages/integration-sdk/src/adapters/cryptopro.adapter.ts,CROWN_JEWEL,89,89,0
apps/web/components/role-navigation.tsx,STANDARD,88,88,0
apps/web/lib/commercial-expansion-data.ts,STANDARD,88,88,0
docs/platform-v7/autopilot/scopes/p0-fgis-legacy-quarantine-3609.json,STANDARD,88,88,0
apps/web/components/service-provider-selection-panel.tsx,STANDARD,87,87,0
apps/api/src/common/security/object-policy.service.ts,STANDARD,86,86,0
apps/api/src/modules/route-planner/route-planner.controller.ts,STANDARD,86,86,0
apps/web/components/liquidity-layer-panel.tsx,STANDARD,86,86,0
docs/ops/pc-crop-federal-accounting/integration-compatibility.md,STANDARD,86,86,0
docs/runbooks/P1-api-down.md,STANDARD,86,86,0
apps/web/lib/v9/tokens.ts,STANDARD,85,85,0
packages/integration-sdk/src/adapters/bki.adapter.ts,CROWN_JEWEL,84,84,0
apps/web/components/finance-application-workspace.tsx,STANDARD,83,83,0
apps/web/tests/unit/platformV7AccountingMobileContract.test.ts,STANDARD,83,83,0
.github/workflows/security.yml,STANDARD,82,82,0
apps/web/lib/scenario-data.ts,STANDARD,82,82,0
docs/ip/contributor-rights-register.json,STANDARD,82,82,0
docs/runbooks/P1-database-failure.md,STANDARD,82,82,0
infra/k8s/base/network-policy.yml,STANDARD,82,82,0
packages/integration-sdk/src/adapters/gps.adapter.ts,CROWN_JEWEL,82,82,0
apps/api/src/modules/accounting/document-transport.fake.ts,CROWN_JEWEL,81,81,0
docs/runbooks/P1-payment-stuck.md,STANDARD,81,81,0
apps/api/prisma/migrations/20260804180000_opaque_token_digest_v1_invalidation/migration.sql,STANDARD,80,80,0
apps/web/components/company-profile-workspace.tsx,STANDARD,80,80,0
packages/domain-core/src/action-decision-engine.ts,CROWN_JEWEL,80,80,0
apps/api/src/modules/integration-events/integration-events.controller.ts,STANDARD,79,79,0
scripts/security/scan-secret-history.test.mjs,STANDARD,79,79,0
apps/api/prisma/migrations/20260803140000_auth_audit_chain_integrity/migration.sql,STANDARD,78,78,0
infra/sql/runtime_rls_policies.sql,STANDARD,78,78,0
apps/api/src/modules/railway/railway.controller.ts,STANDARD,77,77,0
apps/web/components/execution-flow-panel.tsx,STANDARD,77,77,0
packages/domain-core/src/operator-case-center.ts,CROWN_JEWEL,75,75,0
apps/web/components/service-provider-assignment-console.tsx,STANDARD,74,74,0
apps/web/lib/gekta/speech.ts,CROWN_JEWEL,74,74,0
packages/integration-sdk/src/adapters/diadok.adapter.ts,CROWN_JEWEL,74,74,0
scripts/ip/rospatent-deposit.mjs,STANDARD,74,74,0
shared/role-contract.ts,STANDARD,74,74,0
apps/api/src/modules/auth/registrationIdempotencyContract.spec.ts,CROWN_JEWEL,73,73,0
docs/CONTROLLED_PILOT_EXECUTION_PLAN_2026_04_04.md,STANDARD,73,73,0
docs/ops/pc-crop-federal-accounting/production-acceptance.md,STANDARD,73,73,0
packages/integration-sdk/src/adapters/fts.adapter.ts,CROWN_JEWEL,73,73,0
apps/web/components/v9/ui/tabs.tsx,STANDARD,72,72,0
docs/platform-v7/autopilot/scopes/gekta-product-separation-20260812.json,STANDARD,72,72,0
docs/runbooks/P2-high-error-rate.md,STANDARD,71,71,0
SECURITY.md,STANDARD,71,71,0
apps/web/app/legal/[slug]/page.tsx,STANDARD,70,70,0
apps/web/lib/websocket-client.ts,STANDARD,70,70,0
apps/web/components/session-watcher.tsx,STANDARD,69,69,0
apps/web/tests/unit/platformV7DealAccounting.test.tsx,STANDARD,69,69,0
